no.	title	genre	content	age
79	패밀리 사이즈, 남지은&김인호	에피소드, 일상	삼형제와 이제막 태어난 막내딸까지!결혼 십 년 차에 가족의 규모(패밀리 사이즈)가 부쩍 커진한 만화가 부부의 육아와 삶 이야기	전체연령가
80	그놈은 흑염룡, 혜진양	스토리, 로맨스	요즘 것들은 랜덤채팅 한다고? 2000년대엔 게임 ♨정모♨가 있었다!그곳에서 만난 그 남자 흑.염.룡.	전체연령가
81	킬링타임, 혼	스토리, 스릴러	"""언니, 살려줘!""3년전 죽은 동생에게서 전화가 왔다과거와 연결된 핸드폰을 이용해, 죽은 동생을 살려내야 한다!"	15세 이용가
82	피와 살, 황준호	스토리, 스릴러	멸종 위기에 처한 인간.인간을 먹고 사는 괴물.생존을 위한 그들의 전쟁 혹은 공생.	18세 이용가
83	필살VS로맨스, 구르	스토리, 개그	무협 만화 같은 여자 ‘유비’. 순정 만화 같은 남자 ‘신우’.자신의 장르대로 살아가던 두 사람의 순탄치 않은 썸타기!만화의 정석대로 해피엔딩을 이룰 수 있을까?!	전체연령가
84	저세상 클라스!, 꾀돌이	스토리, 액션	할머니와 몸을 공유해야하는 일진짱그런데 이 할머니도 보통이 아니다일진짱의 진정한(?) 이중생활!	전체연령가
85	너에게만 보이는, 소소만	스토리, 드라마	나의 위로가 너에게 닿기를! 당신의 마음을 치유하는 판타지 로맨스	전체연령가
86	올가미, 해무리	스토리, 스릴러	너의 지독한 덫에 빠져들다.	15세 이용가
87	숲속의 담, 다홍	스토리, 감성	어느 순간부터 성장이 멈춘 '담'은사람들을 피해 숲속으로 떠난다.	전체연령가
88	집이 없어, 와난	스토리, 드라마	집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영. 악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데.. 기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기	전체연령가
89	그날 죽은 나는휴재, 이언	스토리, 드라마	눈에 띄게 변해버린 그 아이,무슨 일이 있었던 걸까?	12세 이용가
90	별종, 이무기	스토리, 드라마	지구에 방문한 이방인.그가 몰고 온 불행의 시작.	15세 이용가
91	조선홍보대행사 조대박, 김양수	스토리, 개그	냉혈한 광고홍보의 귀재조선 시장에서도 성공할 수 있을까?	전체연령가
92	아이고 아이고, 하모	스토리, 드라마	자유분방한 삶을 살던 가수 지망생.불의의 사고를 겪고 장례지도사가 되기를 결심한다.	전체연령가
93	장단에 맞춰줘!, 햇님	스토리, 로맨스	초단신 보람과 일진농구부 최겸의너무 다른 반전 개그 로맨스!	12세 이용가
94	정년이, 서이레&나몬	스토리, 드라마	가진 것 없고 배운 것 없지만, 소리 하나만큼은 타고난 목포 소녀 정년! 정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데… 배워야 할 것은 많고, 주연 배우 자리는 멀기만 하다. 과연 정년은 대 스타가, 부자가 될 수 있을까?	전체연령가
95	안식의 밤, 연제원	스토리, 스릴러	노인들을 대상으로 한 연쇄 살인 사건의 전말'나는 할머니를 죽이지 않았어요!!'	15세 이용가
96	유미의 세포들컷툰, 이동건	에피소드, 로맨스	유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!	12세 이용가
97	고수, 류기운&문정후	스토리, 액션	<용비불패> 최강의 콤비가 무협의 전설을 다시 쓰다! 천하제일의 고수 강룡. 그리고 수많은 다른 고수들의 이야기.	15세 이용가
98	복학왕, 기안84	스토리, 드라마	패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!	15세 이용가
